"","a","b"
"1",-4.49018865274088,0.00907852374858168
"2",-4.59814932343564,0.00909059620522594
"3",-4.64026117581574,0.00925096125089784
"4",-4.60840437805796,0.00959042617777043
"5",-4.48411932950837,0.00913000559346371
"6",-4.31054218680731,0.00865554324411706
"7",-4.34002058982568,0.00922144076241987
"8",-4.19274649662751,0.00889087508147515
"9",-4.36398911338579,0.00926573374757745
"10",-4.48752070561274,0.00940560977371964
"11",-4.47971390107494,0.00902093888546571
"12",-4.36260669977818,0.00894812630987656
"13",-4.33741349921762,0.0090251397816501
"14",-4.41093713856872,0.00934386197082604
"15",-4.46865603291163,0.00930968621311888
"16",-4.60094862433373,0.00947311162533553
"17",-4.54437413024273,0.00948630308893297
"18",-4.57799184412285,0.00959022472410214
"19",-4.5176921927024,0.00924057755046548
"20",-4.44298827467194,0.00941556869545567
"21",-4.39159456876234,0.00934842642793105
"22",-4.58320834560923,0.00952773743672309
"23",-4.64410145566568,0.00966264667913844
"24",-4.74467333673448,0.00994330977111717
"25",-4.82518507682771,0.00942770824817087
"26",-4.81302637323463,0.00927694508023356
"27",-4.83875988077658,0.0100254214124652
"28",-4.71727778216646,0.00970128553610223
"29",-4.74192024776986,0.00987937102373395
"30",-4.73789653695271,0.010148952089758
"31",-4.78477577920095,0.0101620069888367
"32",-4.80329759412487,0.00981523401230035
"33",-4.75280804634058,0.00958649635651292
"34",-4.50511229525656,0.00923541798383832
"35",-4.48132736388028,0.00962438635032976
"36",-4.78274167019856,0.0101304819328159
"37",-4.9471333719212,0.0102134480454591
"38",-5.08604519756499,0.0101601554211998
"39",-4.81817193889685,0.00993270132196511
"40",-4.7359484487992,0.00975060798087946
"41",-4.60492654550013,0.00972088088554284
"42",-4.55322294914935,0.0096877981162363
"43",-4.54812764108419,0.00949387891559486
"44",-4.50915129552981,0.00958713605800456
"45",-4.72097223918121,0.00980218749361689
"46",-4.87852998643099,0.00978679693220884
"47",-4.81114921692779,0.00977983666774894
"48",-4.84690244992507,0.00978726928435963
"49",-4.65167869560779,0.0096430354988064
"50",-4.6335396718066,0.00925116641274422
"51",-4.6007749365784,0.00970158581033646
"52",-4.75315784730327,0.00998101283466477
"53",-5.01387592887098,0.0103616006135462
"54",-4.9744342051793,0.0106192605524344
"55",-5.01179782102916,0.0103136329789341
"56",-4.99520560341591,0.0103614807104973
"57",-5.04972825165902,0.0102049137464504
"58",-4.728135019527,0.0101364117914613
"59",-4.74917696515382,0.00986615761882836
"60",-4.81126066421874,0.0100839051378973
"61",-4.883085454321,0.0102515166052898
"62",-5.05219317097581,0.0105057369045694
"63",-5.00384869555938,0.0101315742496128
"64",-4.7848288881973,0.00977209458991715
"65",-4.65037112828116,0.00984077297977142
"66",-4.90733573294125,0.00986110094797371
"67",-4.90948141859255,0.0101860732002861
"68",-4.80193964072304,0.0101779888773621
"69",-4.80501833137976,0.00975146352851025
"70",-4.79672111361971,0.00993820838765694
"71",-4.76573046706895,0.0103869187544954
"72",-4.81591571038108,0.0103658510876278
"73",-4.89057937239464,0.00996184384407975
"74",-4.89584575745324,0.0104910159238388
"75",-5.22544795708285,0.0104261461448924
"76",-5.03962875691089,0.0103061278755685
"77",-4.85699805737028,0.0103043265887692
"78",-4.90480485131908,0.010228147563968
"79",-4.92883354482306,0.0100203892107545
"80",-4.64980103396336,0.00939506171973557
"81",-4.64777807068722,0.00967899905986401
"82",-4.75898082510419,0.00975931225966003
"83",-4.68654550973143,0.00959483484045187
"84",-4.67644976115486,0.00950161989453026
"85",-4.67149671007463,0.00980801531425452
"86",-4.47391107237022,0.00972145663847208
"87",-4.64488097186096,0.00977827231540521
"88",-4.78620644657564,0.0096995556650972
"89",-4.64792461366532,0.00971395038724556
"90",-4.70638999113251,0.00952589448300591
"91",-4.70117785569246,0.0100552174174734
"92",-4.85798722948816,0.00979899429806134
"93",-4.51901669755143,0.00954045267583848
"94",-4.55272282867719,0.00940475354242015
"95",-4.64999880355861,0.00938885071530799
"96",-4.35279123969648,0.009348275809064
"97",-4.40636432228802,0.00907656461410198
"98",-4.2039504567528,0.00899572810296694
"99",-4.37673884025267,0.00909436035546038
"100",-4.35123059554939,0.00898718353946465
"101",-4.36555141542849,0.0091610773388469
"102",-4.44148332662795,0.00911636199801676
"103",-4.44574738747946,0.00899597839818469
"104",-4.48470677981727,0.00898833661836665
"105",-4.45197045063935,0.00917986073438417
"106",-4.45385718454899,0.00944073991639384
"107",-4.36895566991226,0.00934404490934841
"108",-4.39245696127972,0.00902205064736293
"109",-4.2640626798378,0.00881654338496586
"110",-4.21162170314456,0.00889398421978667
"111",-4.21596839673923,0.00876218203810749
"112",-4.17556881749635,0.00883647716117416
"113",-4.17008016409881,0.00865214263883117
"114",-4.10206393487447,0.00843879976352157
"115",-4.06222667333305,0.00873050483358648
"116",-4.2782425756478,0.00911210693426363
"117",-4.28906495767285,0.00903633579638572
"118",-4.30975414196393,0.00879330148736742
"119",-4.29607225638582,0.0088253462385601
"120",-4.30186959228775,0.0092257073989082
"121",-4.57127547138424,0.00952262697936784
"122",-4.66168922704504,0.0097997312547067
"123",-4.8199626357911,0.0100449992167445
"124",-4.77845752023521,0.0100761434070923
"125",-4.76309898765388,0.0098257555962377
"126",-4.58291466560512,0.00978704726257939
"127",-4.60079661891126,0.00971352028839957
"128",-4.64221923988402,0.00947709656146605
"129",-4.70592104913657,0.00953282518931366
"130",-4.56626102055965,0.00940128523438895
"131",-4.59924490782959,0.00969622800084964
"132",-4.61130412919715,0.00930944349527433
"133",-4.56031544618563,0.00933675716149829
"134",-4.50480078283304,0.0094715063992605
"135",-4.56243201048135,0.00952773189658012
"136",-4.58538790452879,0.00909025204302849
"137",-4.58378415452994,0.0092778816658483
"138",-4.55807918012966,0.00970511017613871
"139",-4.58037107408544,0.00931322185830873
"140",-4.54490175239722,0.00959583574512487
"141",-4.5528631529499,0.00988387255421571
"142",-4.61428761089092,0.00959443138544739
"143",-4.69807239868448,0.00959816069740022
"144",-4.81527863471849,0.0102425126593908
"145",-4.77796252123063,0.00998565183202431
"146",-4.73687816378943,0.00977957462126318
"147",-4.53082019734319,0.00965874161289481
"148",-4.51507822528106,0.00902685326991252
"149",-4.50403348152156,0.0095670348310238
"150",-4.69723799363342,0.0100633472804894
"151",-4.70187483469944,0.00992473796819796
"152",-4.79595540958503,0.00995293056035022
"153",-4.86909535959874,0.00996339901520378
"154",-4.72423167929997,0.00966091644378674
"155",-4.73028740062056,0.00985683197945054
"156",-4.5543187047272,0.00927959586440999
"157",-4.49874073518146,0.00933433427429386
"158",-4.48955875806568,0.00912491084112066
"159",-4.42100897970416,0.00912205007291491
"160",-4.50376276277395,0.00920656363053962
"161",-4.4864216104648,0.00925436985675929
"162",-4.40740004836309,0.00898180761410636
"163",-4.42458152757444,0.00931842117604111
"164",-4.54821021817154,0.00974384411984033
"165",-4.67033857932473,0.00992806920074484
"166",-4.87299247309482,0.0101770270880403
"167",-4.93855329620732,0.0101559070998427
"168",-4.75394856371865,0.00973803848458391
"169",-4.72577952201417,0.00968964024306452
"170",-4.72883636079454,0.00983211681886362
"171",-4.57056824629315,0.00966454920594281
"172",-4.58925765384406,0.00975309059479045
"173",-4.57894318371038,0.00960227322420718
"174",-4.5549981554553,0.00968978887913142
"175",-4.61450034484004,0.00978182106786854
"176",-4.7367927171273,0.00995445171086678
"177",-4.73804655904766,0.00986225304885322
"178",-4.73723030505535,0.00971802856308922
"179",-4.73958131446402,0.00975874172104998
"180",-4.77860679266047,0.0096970371340344
"181",-4.60601371631497,0.00964288739391767
"182",-4.56983629695662,0.00960455923462726
"183",-4.54149023217874,0.00983125815818241
"184",-4.69096021531988,0.00994295796108594
"185",-4.81037645771654,0.00975772844113787
"186",-4.80291659594043,0.00992710429743078
"187",-4.84761480315663,0.00997323021583255
"188",-4.76707930462979,0.00963273981242606
